split,degradation_type,group,samples,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,entropy_mean,entropy_std,contrast_std_mean,contrast_std_std,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,pixel_accuracy_mean,pixel_accuracy_std,hausdorff_distance_mean,hausdorff_distance_std,hausdorff_95_mean,hausdorff_95_std
train,low_contrast,no_enhancement,60,253.16604694856383,217.55223542656114,25.92321166548304,4.3183259657360775,0.946931655004539,0.039786790866585355,5.050484860249796,0.6235924388034962,0.0475899322378217,0.021505666212926905,0.5712538897473856,0.10629359833636581,0.4073720630390714,0.10325571264877584,0.4955818234425646,0.17411097804122974,0.7550437371907317,0.077987613988919,0.859750030755133,0.09091564318393104,0.845648315804757,0.07222236253560566,48.521605111242614,10.98244380642683,17.9331278589371,5.103628437998272
train,mixed,adaptive_enhancement,80,146.43321751289423,119.35137058738069,28.353689319666636,4.5071988988322165,0.8654151001449222,0.04035158187453339,5.589399134848135,0.42936843549191284,0.06008132643788011,0.020804310534714546,0.5007718185988865,0.1356639960885514,0.3452356465135639,0.12607437316337688,0.47365880816355094,0.1906126954208118,0.6065833896025445,0.11139727676295412,0.8610496493282433,0.12548759322782396,0.8278680622452408,0.10463815082554648,50.99442919119045,14.105594238633683,20.632021305340697,9.691491575022061
train,mixed,fixed_enhancement,80,161.09015570627565,85.21130533432651,26.682647560270574,2.410829551584484,0.7953949194475914,0.027275743827007738,5.783276976110713,0.44629345725468067,0.06546500652725018,0.021686946732370482,0.3208224587758561,0.0685931291018012,0.1931026795197651,0.05071112036555269,0.2352719712689825,0.10434381347005191,0.618498777591789,0.09095060803634286,0.6596335400208477,0.13561301657937114,0.6531073032633081,0.10843229787078278,47.673362147304005,10.667022009629784,20.101338294830295,5.435752413404664
train,mixed,no_enhancement,80,197.1786101639714,128.40035211494992,26.74017720822443,4.312179746219069,0.7640782525761326,0.15638856831362188,5.485470633072343,0.578662076463396,0.0569504253245291,0.02296862888680451,0.4139642144609402,0.10679316840537924,0.26705978583317885,0.09130878202962653,0.29693197775511365,0.1258700805131166,0.7887699553413539,0.054877984722157644,0.6809766019479648,0.13934897010312947,0.6937345836872764,0.11714511172804917,46.05783736719766,9.659421428634866,19.15181679914256,4.583447434185604
train,noise,adaptive_enhancement,60,75.04281006130755,72.45537681926812,30.832263516851917,3.3787437322876257,0.6828205007294582,0.15774134583817678,6.083878943909887,0.41293232898180615,0.08345153014497785,0.02513350899643932,0.4755353081101764,0.13687586881342903,0.322707007247555,0.1224072248837777,0.42607814941674005,0.20514114940097294,0.6423152524129236,0.10427187147310368,0.8186991776140794,0.13629389256125313,0.7953227450340885,0.11376015803305024,51.7667668439708,12.527333526196784,21.321312267902815,6.87921580727064
train,noise,fixed_enhancement,60,778.6791782481472,1213.4319417764161,22.53134292108277,4.912789784097764,0.6024140703615609,0.2935158788896509,6.598559592078401,0.5340568613951414,0.11505976468017849,0.0480067039326551,0.4321022014755682,0.07428885967189126,0.2783830370126009,0.05995079421517522,0.4558775065389724,0.20244806941099272,0.5187340506899835,0.129690917475122,0.856965455173479,0.13195416811751778,0.8133829564019539,0.10088717652748776,67.0400902430434,30.769944066169217,31.49468719694839,17.46588629379514
train,noise,no_enhancement,60,378.36711796375005,371.21803719767564,25.81212434945046,6.435704630243909,0.4167876761896278,0.2781948780417522,6.57963248500162,0.546857550304876,0.10731809857252377,0.034008958850572577,0.42556416909698147,0.14799359918809846,0.28240402248036334,0.1313810229221439,0.3353078996439361,0.19983792888617732,0.7385992825405457,0.05389052751065146,0.7009057622139429,0.1638146752692753,0.7048530082197538,0.13950432751790737,48.265353192052956,10.434087613124376,19.202895203552064,4.729683438509561
train,normal,adaptive_enhancement,20,0.0,0.0,100.0,0.0,1.0,0.0,5.894158910169658,0.4955712799702711,0.07928617291454354,0.027969908790346144,0.6726558374018973,0.05777401291131378,0.5093793398318442,0.06324134569075016,0.6821333351149119,0.12804754759258105,0.6860579954814419,0.06428824868922144,0.949168865835223,0.03190279298519967,0.9153443204274831,0.024212262951328757,55.96782356782974,11.062155737386401,18.461234760334282,5.036214451721922
train,normal,fixed_enhancement,20,137.2125397556119,38.457941615737134,26.909378320619744,1.1640389425200584,0.8257081490435138,0.015951530776890488,6.296964803715995,0.34807296506124813,0.09201487941827097,0.02264161039244587,0.444394150286216,0.05801129961502348,0.2873452125258408,0.04723169778880036,0.49539526822653235,0.1672671244632929,0.4618007330150453,0.10762457500463121,0.9111981087390548,0.06734167761046546,0.8533621073153496,0.04792210929192868,70.91410614441229,30.46550335153081,34.79911643314546,20.760638319527416
train,normal,no_enhancement,20,0.0,0.0,100.0,0.0,1.0,0.0,5.894158910169658,0.4955712799702711,0.07928617291454354,0.027969908790346144,0.6726558374018973,0.05777401291131378,0.5093793398318442,0.06324134569075016,0.6821333351149119,0.12804754759258105,0.6860579954814419,0.06428824868922144,0.949168865835223,0.03190279298519967,0.9153443204274831,0.024212262951328757,55.96782356782974,11.062155737386401,18.461234760334282,5.036214451721922
